"","Subject","Activity","tBodyAccJerk","tBodyGyro","tBodyGyroJerk","tBodyAccMag","tGravityAccMag","tBodyAccJerkMag","tBodyGyroMag","tBodyGyroJerkMag","fBodyAcc","fBodyAccJerk","fBodyGyro","fBodyAccMag","fBodyBodyAccJerkMag","fBodyBodyGyroMag","fBodyBodyGyroJerkMag"
"1",1,"WALKING",-0.0751945922445614,-0.149804346076877,-0.182019526806667,-0.178329911094211,-0.178329911094211,-0.107950279547053,-0.173978958531579,-0.312014278989474,-0.164570526990228,-0.206055317150932,-0.280799146644211,-0.263328018735789,-0.0803059015182105,-0.260135261440526,-0.350455252784211
"2",1,"WALKING_UPSTAIRS",-0.242735892014465,-0.18419928076195,-0.337984846034811,-0.227449279990566,-0.227449279990566,-0.472747534150943,-0.137677454011321,-0.621717954716981,-0.209725055112579,-0.524753079842767,-0.375290819198113,-0.384328023113208,-0.487856008113208,-0.254473487830189,-0.664297801792453
"3",1,"WALKING_DOWNSTAIRS",-0.0644644151666667,-0.124168749539456,-0.189934873014728,0.0235363210185714,0.0235363210185714,-0.0576176002530612,-0.150732811214286,-0.300987244438776,-0.0953926960358503,-0.177882521796497,-0.22588368184932,-0.0449728833846939,-0.0389168828969388,-0.292035337933673,-0.336941617894898
"4",1,"SITTING",-0.48036964270695,-0.493242321603191,-0.524963214528369,-0.937807602446808,-0.937807602446808,-0.985742109787234,-0.932712165212766,-0.990142534893617,-0.951844592659574,-0.985429278475177,-0.964580450744681,-0.93811386212766,-0.983434152127659,-0.94531698212766,-0.988423582234043
"5",1,"STANDING",-0.482139552744642,-0.494026036393994,-0.528802339813208,-0.983110568113208,-0.983110568113208,-0.992732,-0.977591910754717,-0.994850014622642,-0.983979430974843,-0.990873912012579,-0.985515758522013,-0.983835082924528,-0.992539240471698,-0.981541847735849,-0.99474325009434
"6",1,"LAYING",-0.4569545869717,-0.444211458737667,-0.511190713530333,-0.81853700818,-0.81853700818,-0.9413209465,-0.84688485888,-0.9496510064,-0.87663094732,-0.947427160666667,-0.910309066464333,-0.83003429425,-0.9275521682,-0.84325481254,-0.9375138071
"7",2,"WALKING",-0.132045073877542,-0.266586640458616,-0.274398358070056,-0.356475881525424,-0.356475881525424,-0.222787569504237,-0.499784504576271,-0.552855050847458,-0.31730875959209,-0.31398005334887,-0.513017027090396,-0.450697319813559,-0.166578161131356,-0.59124882720339,-0.570676924067797
"8",2,"WALKING_UPSTAIRS",-0.158549137522674,-0.181748226389236,-0.291291430169444,-0.156649862408333,-0.156649862408333,-0.269329152811458,-0.29862282028125,-0.585054078854167,-0.144674262058715,-0.367211700726389,-0.370420104913194,-0.256023391453125,-0.224967487932292,-0.444616293333333,-0.611309349583333
"9",2,"WALKING_DOWNSTAIRS",0.00329683193039007,-0.173257266538298,-0.183812911593262,0.152768727693617,0.152768727693617,0.117636174239362,-0.21851634873117,-0.377030273446809,0.0476568547702128,-0.052433981806383,-0.309390225821631,0.135973019209574,0.224864071059574,-0.346707649457447,-0.361937145957447
"10",2,"SITTING",-0.477000110359312,-0.498106143168116,-0.524153184053985,-0.960487534021739,-0.960487534021739,-0.985625290543478,-0.953674355652174,-0.99033820673913,-0.967934703333333,-0.984825281123188,-0.975370747608696,-0.958424675217391,-0.983999442391304,-0.966613170652174,-0.989747429891304
"11",2,"STANDING",-0.476378358815864,-0.487894033988426,-0.523139906160185,-0.961875073148148,-0.961875073148148,-0.978582178796296,-0.958704861111111,-0.980578166018519,-0.966614754753086,-0.978787966944444,-0.969336571975309,-0.962285773981482,-0.976112877777778,-0.959282315277778,-0.977802062777778
"12",2,"LAYING",-0.477406222285451,-0.486044664586806,-0.529808443705556,-0.9751546990625,-0.9751546990625,-0.986629886145833,-0.955587811770833,-0.9907425846875,-0.979995115381944,-0.986060338854167,-0.977728365,-0.9751157921875,-0.984971301979167,-0.966605675729167,-0.989870681354167
"13",3,"WALKING",-0.126202771477787,-0.272427708434483,-0.291010657045489,-0.291559634913793,-0.291559634913793,-0.209962836369828,-0.513961218706896,-0.566753389396552,-0.289432768112356,-0.300846836146868,-0.524567446321839,-0.373202308017241,-0.138308253685,-0.601199532586207,-0.578419326982759
"14",3,"WALKING_UPSTAIRS",-0.219227185646158,-0.26277106975791,-0.343640792825706,-0.258806163771186,-0.258806163771186,-0.43796087559322,-0.37810423270339,-0.688444720847458,-0.269913046872034,-0.488810880835565,-0.508163023288136,-0.381930224322034,-0.446765050338983,-0.479696693079661,-0.728455607457627
"15",3,"WALKING_DOWNSTAIRS",-0.114577169279898,-0.212063985336395,-0.249980364008844,-0.0519733098376531,-0.0519733098376531,-0.148935848053061,-0.230544600295918,-0.546243394081633,-0.169868449876871,-0.280394153131418,-0.397419397346258,-0.102454051279592,-0.104290132670408,-0.327408728195918,-0.60059401
"16",3,"SITTING",-0.471943116305929,-0.476078195978333,-0.520606559849904,-0.882842525096154,-0.882842525096154,-0.967815418557692,-0.922436238057692,-0.977385363942308,-0.910939019615385,-0.968311841378205,-0.947824724775641,-0.889406158846154,-0.966228872307692,-0.936057286326923,-0.977293954134615
"17",3,"STANDING",-0.46618299844459,-0.459543586784426,-0.509341576961202,-0.920287061311475,-0.920287061311475,-0.954036941803279,-0.887107285409836,-0.960009553278689,-0.929145564836066,-0.95840919204918,-0.916670237021858,-0.92440250442623,-0.948417141065574,-0.898561040327869,-0.958726614180328
"18",3,"LAYING",-0.474209041241937,-0.478332037283737,-0.52636420197043,-0.968504761290323,-0.968504761290323,-0.977802945645161,-0.952919931209677,-0.984926440403226,-0.970205424489247,-0.977711032284946,-0.971814114892473,-0.966937246290323,-0.975627487903226,-0.960014290322581,-0.983423204677419
"19",4,"WALKING",-0.198176312241389,-0.308806674224917,-0.358333471221944,-0.419864838666667,-0.419864838666667,-0.341809917916667,-0.525454156113333,-0.7057252025,-0.391726209973083,-0.441168927825,-0.596164788472222,-0.55098859325,-0.319523256,-0.601611394425,-0.741047750916667
"20",4,"WALKING_UPSTAIRS",-0.217604102651923,-0.221436154085256,-0.36223312026891,-0.182858117919231,-0.182858117919231,-0.419091866346154,-0.405376771153846,-0.721124416057692,-0.259335772882853,-0.48004609322968,-0.467341902692308,-0.288915698346154,-0.447365186153846,-0.564141850480769,-0.767479354711538
"21",4,"WALKING_DOWNSTAIRS",-0.137186048509667,-0.280359416855185,-0.28581486945963,-0.0655587883922222,-0.0655587883922222,-0.222855167862556,-0.3635894591,-0.614961279222222,-0.248790852214815,-0.328801899814815,-0.500707842420741,-0.141359182764444,-0.227861031756667,-0.443443728777778,-0.653611693777778
"22",4,"SITTING",-0.474155875994833,-0.48238256301,-0.5184900383672,-0.9250513324,-0.9250513324,-0.966340697,-0.9274808034,-0.978148576,-0.938900671466667,-0.9676780879,-0.953712009366667,-0.9244089023,-0.9620426266,-0.9388101534,-0.9764047586
"23",4,"STANDING",-0.47326362148361,-0.464302716961905,-0.513656672790655,-0.898727367589286,-0.898727367589286,-0.960765110267857,-0.893063209107143,-0.965948429107143,-0.919727068842262,-0.962432514345238,-0.925280054642857,-0.906477028482143,-0.958085891160714,-0.900701785,-0.965450678482143
